slug,title,reason,url_count,example_url
"apple-watch-series-10-gps-46mm-case-smartwatch-review","Apple Watch Series 10 [GPS 46mm case] Smartwatch review","has_amazon_but_not_linked",2,"https://amzn.to/42fKqav"""
"product-summary-review-new-amazon-fire-hd-8-tablet-2024-release","Product Summary Review: New Amazon Fire HD 8 Tablet (2024 Release)","has_amazon_but_not_linked",3,"https://amzn.to/3O3bTnl"""
"product-overview-google-nest-learning-thermostat","Product Overview: Google Nest Learning Thermostat","has_amazon_but_not_linked",2,"https://amzn.to/3LRcN5k"""
"product-summary-review-lightning-gps-gl300-gps-tracker-for-vehicles","Product Summary Review: Lightning GPS GL300 GPS Tracker for Vehicles","has_amazon_but_not_linked",3,"https://amzn.to/3YuKVv8"""
"apple-airtag-product-summary","Apple AirTag Product Summary","has_amazon_but_not_linked",2,"https://amzn.to/3Wu8F06"""
"product-summary-review-aqara-smart-lock-u100","Product Summary Review: Aqara Smart Lock U100","has_amazon_but_not_linked",2,"https://amzn.to/3We7G5b"""
"product-summary-review-eufy-security-smart-lock-s330","Product Summary Review: eufy Security Smart Lock S330","has_amazon_but_not_linked",2,"https://amzn.to/3zxltuJ"""
"product-summary-review-eero-6-dual-band-mesh-wi-fi-system","Product Summary Review: eero 6+ Dual-Band Mesh Wi-Fi System","has_amazon_but_not_linked",2,"https://amzn.to/45VUS6G"""
"product-review-riwezox-keyboard-for-ipad-pro-12-9","Product Review: Riwezox Keyboard for iPad Pro 12.9","has_amazon_but_not_linked",3,"https://amzn.to/3RDGYQC"""
"product-review-apple-2022-10-9-inch-ipad-10th-generation","Product Review: Apple 2022 10.9-inch iPad (10th Generation)","has_amazon_but_not_linked",3,"https://amzn.to/3RF6ll9"""
"ring-stick-up-cam-pro-review","Ring Stick Up Cam Pro Review","has_amazon_but_not_linked",15,"https://amzn.to/4c2fpIZ"""
"review-meta-quest-3-128gb-virtual-reality-headset","Review: Meta Quest 3 (128GB) Virtual Reality Headset","has_amazon_but_not_linked",2,"https://amzn.to/4bZDz73"""
"hisense-40-inch-google-tv-40a4k-review","Hisense 40-Inch Google TV (40A4K) Review","has_amazon_but_not_linked",2,"https://amzn.to/4bNuZYI"""
"review-for-the-oculus-quest-2-pros-and-cons","Review for the Oculus Quest 2: Pros and Cons","has_amazon_but_not_linked",2,"https://amzn.to/4c3PDnj"""
"product-review-interactive-companion-robot-for-adults","Product Review: Interactive Companion Robot for Adults","has_amazon_but_not_linked",2,"https://amzn.to/4c3f4Fv"""
"gyrocopters-frost-electric-bike-review","Gyrocopters Frost Electric Bike Review","has_amazon_but_not_linked",2,"https://amzn.to/3V4Iyfd"""
"reolink-dual-lens-trackmix-with-solar-panel-review","Reolink Dual-Lens TrackMix with Solar Panel: Review","has_amazon_but_not_linked",18,"https://amzn.to/3KjPyQF"""
"wyze-cam-v3-pro-review","Wyze Cam v3 Pro Review","has_amazon_but_not_linked",2,"https://amzn.to/3R3xFJm"""
"review-of-lucyd-lyte-2-0-smart-sunglasses","Review of Lucyd Lyte 2.0 Smart Sunglasses","has_amazon_but_not_linked",16,"https://amzn.to/3R3Rbph"""
"x55-fast-wireless-charger-magnetic-foldable-3-in-1-charging-station","X55 Fast Wireless Charger, Magnetic Foldable 3 in 1 Charging Station","has_amazon_but_not_linked",16,"https://amzn.to/3Kk0YDU"""
"levoit-air-purifiers-for-home-large-room-up-to-3175-sq","LEVOIT Air Purifiers for Home Large Room Up to 3175 Sq","has_amazon_but_not_linked",3,"https://amzn.to/3KjYGo8"""
"belkin-140w-4-port-gan-wall-charger-for-apple-macbook-iphone-15-series-ipad-pro-samsung-galaxy-s24-google-pixel-more","Belkin 140W 4-Port GaN Wall Charger for Apple MacBook, iPhone 15 Series, iPad Pro, Samsung Galaxy S24, Google Pixel, & More","has_amazon_but_not_linked",2,"https://amzn.to/3KadE05"""
"authors","Authors","empty_content",0,""
"contact","Contact me","no_links_in_content",0,""
"home-2","Home","empty_content",0,""
